Year,Gender,Birth-Weight(Grams),AgeMother,Value_LiveBirth
2001,Female,<500,10,0
2001,Female,<500,11,0
2001,Female,<500,12,0
2001,Female,<500,13,0
2001,Female,<500,14,0
2001,Female,<500,14-Oct,0
2001,Female,<500,15,0
2001,Female,<500,16,1
2001,Female,<500,17,0
2001,Female,<500,18,0
2001,Female,<500,19,2
2001,Female,<500,15-19,3
2001,Female,<500,20,0
2001,Female,<500,21,2
2001,Female,<500,22,1
2001,Female,<500,23,0
2001,Female,<500,24,0
2001,Female,<500,20-24,3
2001,Female,<500,25,0
2001,Female,<500,26,0
2001,Female,<500,27,0
2001,Female,<500,28,1
2001,Female,<500,29,3
2001,Female,<500,25-29,4
2001,Female,<500,30,1
2001,Female,<500,31,0
2001,Female,<500,32,3
2001,Female,<500,33,1
2001,Female,<500,34,1
2001,Female,<500,30-34,6
2001,Female,<500,35,0
2001,Female,<500,36,1
2001,Female,<500,37,1
2001,Female,<500,38,0
2001,Female,<500,39,1
2001,Female,<500,35-39,3
2001,Female,<500,40,0
2001,Female,<500,41,1
2001,Female,<500,42,0
2001,Female,<500,43,0
2001,Female,<500,44,0
2001,Female,<500,40-44,1
2001,Female,<500,45+,0
2001,Female,<500,NS,0
2001,Female,<500,Res Total,20
2001,Female,<500,Non Res Total,0
2001,Female,<500,Grand Total,20
2001,Female,500-749,10,0
2001,Female,500-749,11,0
2001,Female,500-749,12,0
2001,Female,500-749,13,0
2001,Female,500-749,14,0
2001,Female,500-749,14-Oct,0
2001,Female,500-749,15,1
2001,Female,500-749,16,0
2001,Female,500-749,17,0
2001,Female,500-749,18,0
2001,Female,500-749,19,0
2001,Female,500-749,15-19,1
2001,Female,500-749,20,1
2001,Female,500-749,21,2
2001,Female,500-749,22,1
2001,Female,500-749,23,1
2001,Female,500-749,24,1
2001,Female,500-749,20-24,6
2001,Female,500-749,25,0
2001,Female,500-749,26,0
2001,Female,500-749,27,3
2001,Female,500-749,28,1
2001,Female,500-749,29,0
2001,Female,500-749,25-29,4
2001,Female,500-749,30,4
2001,Female,500-749,31,2
2001,Female,500-749,32,6
2001,Female,500-749,33,1
2001,Female,500-749,34,0
2001,Female,500-749,30-34,13
2001,Female,500-749,35,0
2001,Female,500-749,36,0
2001,Female,500-749,37,2
2001,Female,500-749,38,2
2001,Female,500-749,39,0
2001,Female,500-749,35-39,4
2001,Female,500-749,40,1
2001,Female,500-749,41,0
2001,Female,500-749,42,0
2001,Female,500-749,43,1
2001,Female,500-749,44,0
2001,Female,500-749,40-44,2
2001,Female,500-749,45+,0
2001,Female,500-749,NS,0
2001,Female,500-749,Res Total,30
2001,Female,500-749,Non Res Total,1
2001,Female,500-749,Grand Total,31
2001,Female,750-999,10,0
2001,Female,750-999,11,0
2001,Female,750-999,12,0
2001,Female,750-999,13,0
2001,Female,750-999,14,0
2001,Female,750-999,14-Oct,0
2001,Female,750-999,15,0
2001,Female,750-999,16,0
2001,Female,750-999,17,2
2001,Female,750-999,18,0
2001,Female,750-999,19,1
2001,Female,750-999,15-19,3
2001,Female,750-999,20,2
2001,Female,750-999,21,3
2001,Female,750-999,22,2
2001,Female,750-999,23,5
2001,Female,750-999,24,1
2001,Female,750-999,20-24,13
2001,Female,750-999,25,1
2001,Female,750-999,26,3
2001,Female,750-999,27,1
2001,Female,750-999,28,1
2001,Female,750-999,29,1
2001,Female,750-999,25-29,7
2001,Female,750-999,30,2
2001,Female,750-999,31,4
2001,Female,750-999,32,4
2001,Female,750-999,33,2
2001,Female,750-999,34,2
2001,Female,750-999,30-34,14
2001,Female,750-999,35,2
2001,Female,750-999,36,1
2001,Female,750-999,37,1
2001,Female,750-999,38,2
2001,Female,750-999,39,1
2001,Female,750-999,35-39,7
2001,Female,750-999,40,0
2001,Female,750-999,41,0
2001,Female,750-999,42,1
2001,Female,750-999,43,0
2001,Female,750-999,44,0
2001,Female,750-999,40-44,1
2001,Female,750-999,45+,0
2001,Female,750-999,NS,0
2001,Female,750-999,Res Total,45
2001,Female,750-999,Non Res Total,7
2001,Female,750-999,Grand Total,52
2001,Female,1000-1249,10,0
2001,Female,1000-1249,11,0
2001,Female,1000-1249,12,0
2001,Female,1000-1249,13,0
2001,Female,1000-1249,14,0
2001,Female,1000-1249,14-Oct,0
2001,Female,1000-1249,15,0
2001,Female,1000-1249,16,1
2001,Female,1000-1249,17,0
2001,Female,1000-1249,18,0
2001,Female,1000-1249,19,3
2001,Female,1000-1249,15-19,4
2001,Female,1000-1249,20,1
2001,Female,1000-1249,21,2
2001,Female,1000-1249,22,1
2001,Female,1000-1249,23,1
2001,Female,1000-1249,24,0
2001,Female,1000-1249,20-24,5
2001,Female,1000-1249,25,1
2001,Female,1000-1249,26,3
2001,Female,1000-1249,27,2
2001,Female,1000-1249,28,1
2001,Female,1000-1249,29,2
2001,Female,1000-1249,25-29,9
2001,Female,1000-1249,30,2
2001,Female,1000-1249,31,2
2001,Female,1000-1249,32,3
2001,Female,1000-1249,33,2
2001,Female,1000-1249,34,3
2001,Female,1000-1249,30-34,12
2001,Female,1000-1249,35,1
2001,Female,1000-1249,36,2
2001,Female,1000-1249,37,2
2001,Female,1000-1249,38,2
2001,Female,1000-1249,39,2
2001,Female,1000-1249,35-39,9
2001,Female,1000-1249,40,1
2001,Female,1000-1249,41,1
2001,Female,1000-1249,42,0
2001,Female,1000-1249,43,0
2001,Female,1000-1249,44,0
2001,Female,1000-1249,40-44,2
2001,Female,1000-1249,45+,0
2001,Female,1000-1249,NS,0
2001,Female,1000-1249,Res Total,41
2001,Female,1000-1249,Non Res Total,3
2001,Female,1000-1249,Grand Total,44
2001,Female,1250-1499,10,0
2001,Female,1250-1499,11,0
2001,Female,1250-1499,12,0
2001,Female,1250-1499,13,0
2001,Female,1250-1499,14,0
2001,Female,1250-1499,14-Oct,0
2001,Female,1250-1499,15,0
2001,Female,1250-1499,16,0
2001,Female,1250-1499,17,1
2001,Female,1250-1499,18,0
2001,Female,1250-1499,19,4
2001,Female,1250-1499,15-19,5
2001,Female,1250-1499,20,2
2001,Female,1250-1499,21,1
2001,Female,1250-1499,22,1
2001,Female,1250-1499,23,7
2001,Female,1250-1499,24,4
2001,Female,1250-1499,20-24,15
2001,Female,1250-1499,25,2
2001,Female,1250-1499,26,3
2001,Female,1250-1499,27,0
2001,Female,1250-1499,28,3
2001,Female,1250-1499,29,3
2001,Female,1250-1499,25-29,11
2001,Female,1250-1499,30,5
2001,Female,1250-1499,31,6
2001,Female,1250-1499,32,3
2001,Female,1250-1499,33,2
2001,Female,1250-1499,34,1
2001,Female,1250-1499,30-34,17
2001,Female,1250-1499,35,4
2001,Female,1250-1499,36,2
2001,Female,1250-1499,37,1
2001,Female,1250-1499,38,2
2001,Female,1250-1499,39,0
2001,Female,1250-1499,35-39,9
2001,Female,1250-1499,40,2
2001,Female,1250-1499,41,0
2001,Female,1250-1499,42,0
2001,Female,1250-1499,43,0
2001,Female,1250-1499,44,0
2001,Female,1250-1499,40-44,2
2001,Female,1250-1499,45+,1
2001,Female,1250-1499,NS,0
2001,Female,1250-1499,Res Total,60
2001,Female,1250-1499,Non Res Total,1
2001,Female,1250-1499,Grand Total,61
2001,Female,"1,500-1,749",10,0
2001,Female,"1,500-1,749",11,0
2001,Female,"1,500-1,749",12,0
2001,Female,"1,500-1,749",13,0
2001,Female,"1,500-1,749",14,0
2001,Female,"1,500-1,749",14-Oct,0
2001,Female,"1,500-1,749",15,0
2001,Female,"1,500-1,749",16,1
2001,Female,"1,500-1,749",17,1
2001,Female,"1,500-1,749",18,0
2001,Female,"1,500-1,749",19,2
2001,Female,"1,500-1,749",15-19,4
2001,Female,"1,500-1,749",20,4
2001,Female,"1,500-1,749",21,5
2001,Female,"1,500-1,749",22,7
2001,Female,"1,500-1,749",23,8
2001,Female,"1,500-1,749",24,0
2001,Female,"1,500-1,749",20-24,24
2001,Female,"1,500-1,749",25,3
2001,Female,"1,500-1,749",26,1
2001,Female,"1,500-1,749",27,5
2001,Female,"1,500-1,749",28,11
2001,Female,"1,500-1,749",29,8
2001,Female,"1,500-1,749",25-29,28
2001,Female,"1,500-1,749",30,5
2001,Female,"1,500-1,749",31,5
2001,Female,"1,500-1,749",32,4
2001,Female,"1,500-1,749",33,2
2001,Female,"1,500-1,749",34,2
2001,Female,"1,500-1,749",30-34,18
2001,Female,"1,500-1,749",35,4
2001,Female,"1,500-1,749",36,5
2001,Female,"1,500-1,749",37,2
2001,Female,"1,500-1,749",38,6
2001,Female,"1,500-1,749",39,1
2001,Female,"1,500-1,749",35-39,18
2001,Female,"1,500-1,749",40,2
2001,Female,"1,500-1,749",41,1
2001,Female,"1,500-1,749",42,0
2001,Female,"1,500-1,749",43,0
2001,Female,"1,500-1,749",44,1
2001,Female,"1,500-1,749",40-44,4
2001,Female,"1,500-1,749",45+,0
2001,Female,"1,500-1,749",NS,0
2001,Female,"1,500-1,749",Res Total,96
2001,Female,"1,500-1,749",Non Res Total,2
2001,Female,"1,500-1,749",Grand Total,98
2001,Female,"1,750-1,999",10,0
2001,Female,"1,750-1,999",11,0
2001,Female,"1,750-1,999",12,0
2001,Female,"1,750-1,999",13,0
2001,Female,"1,750-1,999",14,1
2001,Female,"1,750-1,999",14-Oct,1
2001,Female,"1,750-1,999",15,0
2001,Female,"1,750-1,999",16,1
2001,Female,"1,750-1,999",17,1
2001,Female,"1,750-1,999",18,0
2001,Female,"1,750-1,999",19,4
2001,Female,"1,750-1,999",15-19,6
2001,Female,"1,750-1,999",20,4
2001,Female,"1,750-1,999",21,2
2001,Female,"1,750-1,999",22,6
2001,Female,"1,750-1,999",23,8
2001,Female,"1,750-1,999",24,4
2001,Female,"1,750-1,999",20-24,24
2001,Female,"1,750-1,999",25,10
2001,Female,"1,750-1,999",26,9
2001,Female,"1,750-1,999",27,11
2001,Female,"1,750-1,999",28,7
2001,Female,"1,750-1,999",29,12
2001,Female,"1,750-1,999",25-29,49
2001,Female,"1,750-1,999",30,11
2001,Female,"1,750-1,999",31,3
2001,Female,"1,750-1,999",32,9
2001,Female,"1,750-1,999",33,3
2001,Female,"1,750-1,999",34,9
2001,Female,"1,750-1,999",30-34,35
2001,Female,"1,750-1,999",35,4
2001,Female,"1,750-1,999",36,5
2001,Female,"1,750-1,999",37,4
2001,Female,"1,750-1,999",38,5
2001,Female,"1,750-1,999",39,5
2001,Female,"1,750-1,999",35-39,23
2001,Female,"1,750-1,999",40,1
2001,Female,"1,750-1,999",41,2
2001,Female,"1,750-1,999",42,0
2001,Female,"1,750-1,999",43,0
2001,Female,"1,750-1,999",44,0
2001,Female,"1,750-1,999",40-44,3
2001,Female,"1,750-1,999",45+,0
2001,Female,"1,750-1,999",NS,0
2001,Female,"1,750-1,999",Res Total,141
2001,Female,"1,750-1,999",Non Res Total,3
2001,Female,"1,750-1,999",Grand Total,144
2001,Female,"2,000-2,249",10,0
2001,Female,"2,000-2,249",11,0
2001,Female,"2,000-2,249",12,0
2001,Female,"2,000-2,249",13,0
2001,Female,"2,000-2,249",14,1
2001,Female,"2,000-2,249",14-Oct,1
2001,Female,"2,000-2,249",15,0
2001,Female,"2,000-2,249",16,1
2001,Female,"2,000-2,249",17,5
2001,Female,"2,000-2,249",18,6
2001,Female,"2,000-2,249",19,8
2001,Female,"2,000-2,249",15-19,20
2001,Female,"2,000-2,249",20,5
2001,Female,"2,000-2,249",21,9
2001,Female,"2,000-2,249",22,10
2001,Female,"2,000-2,249",23,11
2001,Female,"2,000-2,249",24,15
2001,Female,"2,000-2,249",20-24,50
2001,Female,"2,000-2,249",25,23
2001,Female,"2,000-2,249",26,12
2001,Female,"2,000-2,249",27,16
2001,Female,"2,000-2,249",28,18
2001,Female,"2,000-2,249",29,16
2001,Female,"2,000-2,249",25-29,85
2001,Female,"2,000-2,249",30,12
2001,Female,"2,000-2,249",31,13
2001,Female,"2,000-2,249",32,16
2001,Female,"2,000-2,249",33,7
2001,Female,"2,000-2,249",34,18
2001,Female,"2,000-2,249",30-34,66
2001,Female,"2,000-2,249",35,17
2001,Female,"2,000-2,249",36,8
2001,Female,"2,000-2,249",37,12
2001,Female,"2,000-2,249",38,7
2001,Female,"2,000-2,249",39,5
2001,Female,"2,000-2,249",35-39,49
2001,Female,"2,000-2,249",40,3
2001,Female,"2,000-2,249",41,2
2001,Female,"2,000-2,249",42,1
2001,Female,"2,000-2,249",43,1
2001,Female,"2,000-2,249",44,1
2001,Female,"2,000-2,249",40-44,8
2001,Female,"2,000-2,249",45+,0
2001,Female,"2,000-2,249",NS,0
2001,Female,"2,000-2,249",Res Total,279
2001,Female,"2,000-2,249",Non Res Total,4
2001,Female,"2,000-2,249",Grand Total,283
2001,Female,"2,250- 2,499",10,0
2001,Female,"2,250- 2,499",11,0
2001,Female,"2,250- 2,499",12,0
2001,Female,"2,250- 2,499",13,0
2001,Female,"2,250- 2,499",14,0
2001,Female,"2,250- 2,499",14-Oct,0
2001,Female,"2,250- 2,499",15,0
2001,Female,"2,250- 2,499",16,4
2001,Female,"2,250- 2,499",17,5
2001,Female,"2,250- 2,499",18,8
2001,Female,"2,250- 2,499",19,13
2001,Female,"2,250- 2,499",15-19,30
2001,Female,"2,250- 2,499",20,20
2001,Female,"2,250- 2,499",21,24
2001,Female,"2,250- 2,499",22,23
2001,Female,"2,250- 2,499",23,14
2001,Female,"2,250- 2,499",24,27
2001,Female,"2,250- 2,499",20-24,108
2001,Female,"2,250- 2,499",25,29
2001,Female,"2,250- 2,499",26,24
2001,Female,"2,250- 2,499",27,28
2001,Female,"2,250- 2,499",28,20
2001,Female,"2,250- 2,499",29,28
2001,Female,"2,250- 2,499",25-29,129
2001,Female,"2,250- 2,499",30,26
2001,Female,"2,250- 2,499",31,23
2001,Female,"2,250- 2,499",32,22
2001,Female,"2,250- 2,499",33,14
2001,Female,"2,250- 2,499",34,17
2001,Female,"2,250- 2,499",30-34,102
2001,Female,"2,250- 2,499",35,22
2001,Female,"2,250- 2,499",36,18
2001,Female,"2,250- 2,499",37,16
2001,Female,"2,250- 2,499",38,17
2001,Female,"2,250- 2,499",39,14
2001,Female,"2,250- 2,499",35-39,87
2001,Female,"2,250- 2,499",40,6
2001,Female,"2,250- 2,499",41,2
2001,Female,"2,250- 2,499",42,1
2001,Female,"2,250- 2,499",43,4
2001,Female,"2,250- 2,499",44,2
2001,Female,"2,250- 2,499",40-44,15
2001,Female,"2,250- 2,499",45+,0
2001,Female,"2,250- 2,499",NS,1
2001,Female,"2,250- 2,499",Res Total,472
2001,Female,"2,250- 2,499",Non Res Total,18
2001,Female,"2,250- 2,499",Grand Total,490
2001,Female,"2,500-2,749",10,0
2001,Female,"2,500-2,749",11,0
2001,Female,"2,500-2,749",12,0
2001,Female,"2,500-2,749",13,1
2001,Female,"2,500-2,749",14,1
2001,Female,"2,500-2,749",14-Oct,2
2001,Female,"2,500-2,749",15,3
2001,Female,"2,500-2,749",16,4
2001,Female,"2,500-2,749",17,13
2001,Female,"2,500-2,749",18,22
2001,Female,"2,500-2,749",19,21
2001,Female,"2,500-2,749",15-19,63
2001,Female,"2,500-2,749",20,30
2001,Female,"2,500-2,749",21,40
2001,Female,"2,500-2,749",22,59
2001,Female,"2,500-2,749",23,45
2001,Female,"2,500-2,749",24,46
2001,Female,"2,500-2,749",20-24,220
2001,Female,"2,500-2,749",25,62
2001,Female,"2,500-2,749",26,57
2001,Female,"2,500-2,749",27,54
2001,Female,"2,500-2,749",28,61
2001,Female,"2,500-2,749",29,73
2001,Female,"2,500-2,749",25-29,307
2001,Female,"2,500-2,749",30,58
2001,Female,"2,500-2,749",31,60
2001,Female,"2,500-2,749",32,57
2001,Female,"2,500-2,749",33,49
2001,Female,"2,500-2,749",34,39
2001,Female,"2,500-2,749",30-34,263
2001,Female,"2,500-2,749",35,38
2001,Female,"2,500-2,749",36,30
2001,Female,"2,500-2,749",37,24
2001,Female,"2,500-2,749",38,21
2001,Female,"2,500-2,749",39,15
2001,Female,"2,500-2,749",35-39,128
2001,Female,"2,500-2,749",40,11
2001,Female,"2,500-2,749",41,8
2001,Female,"2,500-2,749",42,2
2001,Female,"2,500-2,749",43,2
2001,Female,"2,500-2,749",44,3
2001,Female,"2,500-2,749",40-44,26
2001,Female,"2,500-2,749",45+,0
2001,Female,"2,500-2,749",NS,0
2001,Female,"2,500-2,749",Res Total,1010
2001,Female,"2,500-2,749",Non Res Total,10
2001,Female,"2,500-2,749",Grand Total,1020
2001,Female,"2,750-2,999",10,0
2001,Female,"2,750-2,999",11,0
2001,Female,"2,750-2,999",12,0
2001,Female,"2,750-2,999",13,0
2001,Female,"2,750-2,999",14,0
2001,Female,"2,750-2,999",14-Oct,0
2001,Female,"2,750-2,999",15,3
2001,Female,"2,750-2,999",16,10
2001,Female,"2,750-2,999",17,22
2001,Female,"2,750-2,999",18,32
2001,Female,"2,750-2,999",19,56
2001,Female,"2,750-2,999",15-19,123
2001,Female,"2,750-2,999",20,59
2001,Female,"2,750-2,999",21,76
2001,Female,"2,750-2,999",22,86
2001,Female,"2,750-2,999",23,118
2001,Female,"2,750-2,999",24,106
2001,Female,"2,750-2,999",20-24,445
2001,Female,"2,750-2,999",25,95
2001,Female,"2,750-2,999",26,115
2001,Female,"2,750-2,999",27,142
2001,Female,"2,750-2,999",28,127
2001,Female,"2,750-2,999",29,139
2001,Female,"2,750-2,999",25-29,618
2001,Female,"2,750-2,999",30,112
2001,Female,"2,750-2,999",31,131
2001,Female,"2,750-2,999",32,92
2001,Female,"2,750-2,999",33,93
2001,Female,"2,750-2,999",34,97
2001,Female,"2,750-2,999",30-34,525
2001,Female,"2,750-2,999",35,85
2001,Female,"2,750-2,999",36,56
2001,Female,"2,750-2,999",37,49
2001,Female,"2,750-2,999",38,44
2001,Female,"2,750-2,999",39,22
2001,Female,"2,750-2,999",35-39,256
2001,Female,"2,750-2,999",40,22
2001,Female,"2,750-2,999",41,12
2001,Female,"2,750-2,999",42,8
2001,Female,"2,750-2,999",43,6
2001,Female,"2,750-2,999",44,2
2001,Female,"2,750-2,999",40-44,50
2001,Female,"2,750-2,999",45+,1
2001,Female,"2,750-2,999",NS,0
2001,Female,"2,750-2,999",Res Total,2018
2001,Female,"2,750-2,999",Non Res Total,26
2001,Female,"2,750-2,999",Grand Total,2044
2001,Female,"3,000-3,249",10,0
2001,Female,"3,000-3,249",11,0
2001,Female,"3,000-3,249",12,0
